,A2,A3,A4,A5,A1,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07
Alabama,20.2,11.7,14.6,38.8,14.8,4558217.0,95.1,4.9,3.1,0.7,0.8,0.2
Alaska,13.0,9.2,13.6,55.6,8.6,683324.0,83.4,16.6,3.3,2.6,5.6,5.1
Arizona,19.5,11.3,15.1,40.8,13.3,6298821.0,73.0,27.0,20.6,2.0,2.0,2.4
Arkansas,24.4,13.4,14.4,32.9,15.0,2775973.0,93.1,6.9,5.1,0.6,1.1,0.1
California,15.4,9.8,10.9,44.6,19.4,36290808.0,56.1,43.9,28.8,4.4,9.7,1.0
Colorado,15.8,9.6,13.5,53.0,8.1,5023808.0,82.8,17.2,12.0,2.4,1.9,1.0
Connecticut,14.4,8.6,11.0,56.5,9.5,3407815.0,78.2,21.8,11.4,7.1,2.4,0.8
Delaware,18.4,9.6,14.2,48.4,9.5,879604.0,87.0,13.0,6.9,2.6,2.4,1.0
District of Columbia,17.1,6.8,8.9,53.7,13.5,616130.0,82.2,17.8,8.6,4.9,2.1,2.2
Florida,20.3,11.4,14.5,40.1,13.7,18815725.0,71.7,28.3,20.9,5.2,1.6,0.6
Georgia,21.2,11.0,13.3,41.5,13.0,9442904.0,86.4,13.6,8.0,2.5,2.3,0.8
Hawaii,15.3,11.3,13.7,49.1,10.7,1328554.0,74.8,25.2,1.9,1.1,21.8,0.4
Idaho,19.4,12.6,17.0,41.9,9.2,1522757.0,89.7,10.3,7.8,1.1,1.0,0.5
Illinois,15.8,10.3,13.2,48.1,12.6,12091454.0,77.4,22.6,13.3,5.5,2.8,1.1
Indiana,19.0,11.9,15.5,41.3,12.3,6178831.0,92.1,7.9,4.4,1.9,1.2,0.4
Iowa,14.8,12.1,16.1,47.7,9.3,2913555.0,92.8,7.2,3.8,1.4,1.4,0.6
Kansas,17.2,11.8,16.1,45.9,9.0,2704673.0,88.7,11.3,7.5,1.3,1.9,0.6
Kentucky,19.5,12.8,15.4,37.4,14.9,4138825.0,94.8,5.2,2.5,1.4,0.8,0.6
Louisiana,20.9,10.1,12.6,40.8,15.6,4344222.0,91.6,8.4,3.7,3.2,1.2,0.4
Maine,18.3,11.6,16.7,42.9,10.5,1267172.0,93.2,6.8,0.9,4.3,0.9,0.8
Maryland,15.1,8.8,11.1,58.0,7.0,5609124.0,82.9,17.1,7.1,4.7,3.7,1.7
Massachusetts,15.4,9.1,12.2,54.0,9.3,6379441.0,77.4,22.6,8.6,8.5,4.1,1.5
Michigan,16.3,12.4,15.1,44.7,11.5,9340973.0,90.8,9.2,2.9,2.7,1.6,2.0
Minnesota,14.3,10.6,14.8,53.6,6.7,5109770.0,88.9,11.1,3.6,2.0,3.3,2.1
Mississippi,23.2,14.2,13.6,30.5,18.5,2802072.0,96.3,3.7,2.4,0.5,0.5,0.3
Missouri,16.6,11.8,16.4,44.5,10.7,5691365.0,94.4,5.6,2.3,1.7,1.1,0.5
Montana,19.5,11.9,16.1,41.4,11.2,963804.0,96.1,3.9,1.5,1.2,0.5,0.8
Nebraska,16.8,11.4,16.3,46.6,9.0,1751135.0,89.4,10.6,7.3,1.1,1.5,0.8
Nevada,18.7,12.8,13.5,44.0,11.1,2663364.0,69.3,30.7,21.4,2.4,6.0,0.8
New Hampshire,12.7,10.7,13.4,55.8,7.5,1261731.0,92.5,7.5,1.9,4.0,1.3,0.3
New Jersey,16.3,8.9,11.2,55.9,7.6,8406007.0,69.4,30.6,15.9,8.2,4.9,1.5
New Mexico,23.5,12.0,13.4,34.6,16.5,1950156.0,63.2,36.8,29.1,1.3,1.0,5.5
New York,17.2,10.4,13.5,45.9,13.1,18563935.0,69.6,30.4,15.1,8.7,5.0,1.6
North Carolina,20.6,11.6,15.0,40.0,12.9,9342422.0,88.8,11.2,7.4,1.7,1.5,0.6
North Dakota,14.6,11.2,13.7,51.8,8.8,689505.0,94.5,5.5,1.4,2.5,0.6,1.0
Ohio,18.8,10.4,15.6,44.0,11.2,10904728.0,93.4,6.6,2.1,2.5,1.1,0.8
Oklahoma,19.9,13.1,14.8,40.2,12.0,3614253.0,90.0,10.0,6.7,1.1,1.4,0.8
Oregon,19.4,11.7,15.0,43.4,10.5,3743771.0,84.5,15.5,9.3,2.5,3.1,0.7
Pennsylvania,16.6,11.2,15.3,47.1,9.8,12075749.0,89.2,10.8,4.7,3.5,2.0,0.6
Puerto Rico,24.5,9.5,7.9,7.9,50.1,3364109.0,5.5,94.5,94.4,0.1,0.0,0.0
Rhode Island,16.7,9.6,13.4,49.1,11.3,1000317.0,79.0,21.0,11.2,6.6,2.4,0.7
South Carolina,20.4,12.7,14.3,37.7,14.9,4545554.0,93.2,6.8,4.4,1.3,0.9,0.3
South Dakota,15.8,12.2,18.3,45.2,8.5,792820.0,94.3,5.7,1.7,1.5,0.8,1.7
Tennessee,20.2,12.4,15.7,37.2,14.5,6150997.0,93.0,7.0,4.0,1.3,1.1,0.7
Texas,20.2,11.8,12.2,42.4,13.5,25010570.0,64.5,35.5,29.8,2.1,2.8,0.8
Utah,15.1,10.3,15.1,51.5,7.9,2693093.0,85.3,14.7,10.0,1.8,2.1,0.8
Vermont,15.7,11.2,16.1,48.2,8.8,595681.0,95.0,5.0,1.0,3.1,0.6,0.2
Virginia,15.9,10.4,13.0,52.1,8.6,7818739.0,84.4,15.6,6.7,3.7,3.6,1.6
Washington,14.8,10.1,14.6,51.9,8.7,6617324.0,81.2,18.8,8.4,4.0,5.5,1.0
West Virginia,21.1,12.3,16.0,35.3,15.4,1747774.0,98.0,2.0,0.8,0.7,0.4,0.1
Wisconsin,16.5,11.9,15.4,46.6,9.6,5418476.0,91.3,8.7,4.5,2.0,1.8,0.3
Wyoming,16.5,10.2,14.9,50.7,7.7,546224.0,93.0,7.0,4.7,1.0,0.5,0.7
