,A1,A3,A2,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07
Alabama,3.5,94.2,2.3,4558217.0,95.1,4.9,3.1,0.7,0.8,0.2
Alaska,3.0,94.7,2.2,683324.0,83.4,16.6,3.3,2.6,5.6,5.1
Arizona,1.4,96.9,1.8,6298821.0,73.0,27.0,20.6,2.0,2.0,2.4
Arkansas,4.4,93.5,2.0,2775973.0,93.1,6.9,5.1,0.6,1.1,0.1
California,0.8,98.4,0.8,36290808.0,56.1,43.9,28.8,4.4,9.7,1.0
Colorado,1.7,96.0,2.3,5023808.0,82.8,17.2,12.0,2.4,1.9,1.0
Connecticut,0.6,98.2,1.2,3407815.0,78.2,21.8,11.4,7.1,2.4,0.8
Delaware,0.8,98.4,0.7,879604.0,87.0,13.0,6.9,2.6,2.4,1.0
District of Columbia,,98.2,0.9,616130.0,82.2,17.8,8.6,4.9,2.1,2.2
Florida,1.3,97.3,1.5,18815725.0,71.7,28.3,20.9,5.2,1.6,0.6
Georgia,2.6,95.3,2.1,9442904.0,86.4,13.6,8.0,2.5,2.3,0.8
Hawaii,0.6,98.6,0.9,1328554.0,74.8,25.2,1.9,1.1,21.8,0.4
Idaho,3.0,95.0,2.0,1522757.0,89.7,10.3,7.8,1.1,1.0,0.5
Illinois,1.4,96.8,1.8,12091454.0,77.4,22.6,13.3,5.5,2.8,1.1
Indiana,2.2,95.8,2.1,6178831.0,92.1,7.9,4.4,1.9,1.2,0.4
Iowa,3.3,94.9,1.9,2913555.0,92.8,7.2,3.8,1.4,1.4,0.6
Kansas,3.6,94.3,2.2,2704673.0,88.7,11.3,7.5,1.3,1.9,0.6
Kentucky,4.1,93.2,2.7,4138825.0,94.8,5.2,2.5,1.4,0.8,0.6
Louisiana,2.9,94.7,2.4,4344222.0,91.6,8.4,3.7,3.2,1.2,0.4
Maine,1.0,97.9,1.1,1267172.0,93.2,6.8,0.9,4.3,0.9,0.8
Maryland,0.7,98.3,1.1,5609124.0,82.9,17.1,7.1,4.7,3.7,1.7
Massachusetts,0.5,98.5,1.0,6379441.0,77.4,22.6,8.6,8.5,4.1,1.5
Michigan,2.1,95.8,2.1,9340973.0,90.8,9.2,2.9,2.7,1.6,2.0
Minnesota,2.0,96.0,2.0,5109770.0,88.9,11.1,3.6,2.0,3.3,2.1
Mississippi,4.6,92.5,2.9,2802072.0,96.3,3.7,2.4,0.5,0.5,0.3
Missouri,3.0,95.2,1.8,5691365.0,94.4,5.6,2.3,1.7,1.1,0.5
Montana,4.9,92.4,2.7,963804.0,96.1,3.9,1.5,1.2,0.5,0.8
Nebraska,2.8,95.3,1.9,1751135.0,89.4,10.6,7.3,1.1,1.5,0.8
Nevada,1.8,96.8,1.4,2663364.0,69.3,30.7,21.4,2.4,6.0,0.8
New Hampshire,1.2,97.7,1.1,1261731.0,92.5,7.5,1.9,4.0,1.3,0.3
New Jersey,0.6,98.0,1.4,8406007.0,69.4,30.6,15.9,8.2,4.9,1.5
New Mexico,2.5,95.1,2.5,1950156.0,63.2,36.8,29.1,1.3,1.0,5.5
New York,1.1,97.6,1.4,18563935.0,69.6,30.4,15.1,8.7,5.0,1.6
North Carolina,2.6,95.5,1.8,9342422.0,88.8,11.2,7.4,1.7,1.5,0.6
North Dakota,3.8,93.7,2.6,689505.0,94.5,5.5,1.4,2.5,0.6,1.0
Ohio,2.5,95.4,2.0,10904728.0,93.4,6.6,2.1,2.5,1.1,0.8
Oklahoma,4.0,93.5,2.5,3614253.0,90.0,10.0,6.7,1.1,1.4,0.8
Oregon,1.8,96.4,1.8,3743771.0,84.5,15.5,9.3,2.5,3.1,0.7
Pennsylvania,2.3,95.7,2.0,12075749.0,89.2,10.8,4.7,3.5,2.0,0.6
Puerto Rico,,99.1,0.7,3364109.0,5.5,94.5,94.4,0.1,0.0,0.0
Rhode Island,0.6,98.0,1.4,1000317.0,79.0,21.0,11.2,6.6,2.4,0.7
South Carolina,2.2,96.3,1.5,4545554.0,93.2,6.8,4.4,1.3,0.9,0.3
South Dakota,3.3,94.6,2.1,792820.0,94.3,5.7,1.7,1.5,0.8,1.7
Tennessee,4.6,92.7,2.7,6150997.0,93.0,7.0,4.0,1.3,1.1,0.7
Texas,2.2,95.8,2.0,25010570.0,64.5,35.5,29.8,2.1,2.8,0.8
Utah,1.5,97.0,1.6,2693093.0,85.3,14.7,10.0,1.8,2.1,0.8
Vermont,1.7,96.6,1.7,595681.0,95.0,5.0,1.0,3.1,0.6,0.2
Virginia,2.0,96.1,1.9,7818739.0,84.4,15.6,6.7,3.7,3.6,1.6
Washington,1.7,96.5,1.7,6617324.0,81.2,18.8,8.4,4.0,5.5,1.0
West Virginia,5.9,91.5,2.6,1747774.0,98.0,2.0,0.8,0.7,0.4,0.1
Wisconsin,1.9,96.5,1.7,5418476.0,91.3,8.7,4.5,2.0,1.8,0.3
Wyoming,5.2,91.2,3.6,546224.0,93.0,7.0,4.7,1.0,0.5,0.7
