,A6,A7,A2,A1,A4,A8,A3,A5,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07
Alabama,43.6,7.5,3.2,3.0,18.4,6.5,4.3,13.6,4558217.0,95.1,4.9,3.1,0.7,0.8,0.2
Alaska,55.5,6.0,2.7,4.1,14.1,8.8,4.6,4.4,683324.0,83.4,16.6,3.3,2.6,5.6,5.1
Arizona,44.2,8.3,3.1,3.5,19.9,8.1,5.4,7.5,6298821.0,73.0,27.0,20.6,2.0,2.0,2.4
Arkansas,42.6,6.5,3.7,3.5,18.4,8.2,4.4,12.8,2775973.0,93.1,6.9,5.1,0.6,1.1,0.1
California,45.0,8.6,4.0,3.5,16.1,9.8,7.3,5.7,36290808.0,56.1,43.9,28.8,4.4,9.7,1.0
Colorado,51.6,7.1,2.4,3.1,15.4,10.9,5.2,4.4,5023808.0,82.8,17.2,12.0,2.4,1.9,1.0
Connecticut,51.3,5.1,3.4,3.8,16.9,8.1,5.7,5.8,3407815.0,78.2,21.8,11.4,7.1,2.4,0.8
Delaware,52.9,4.8,2.7,3.1,19.6,6.0,4.2,6.7,879604.0,87.0,13.0,6.9,2.6,2.4,1.0
District of Columbia,52.5,2.4,4.1,5.0,12.6,7.6,8.3,7.3,616130.0,82.2,17.8,8.6,4.9,2.1,2.2
Florida,40.5,6.1,3.5,3.4,22.3,10.8,5.5,7.9,18815725.0,71.7,28.3,20.9,5.2,1.6,0.6
Georgia,48.1,5.9,4.3,4.0,15.6,7.5,6.0,8.6,9442904.0,86.4,13.6,8.0,2.5,2.3,0.8
Hawaii,51.5,4.7,2.7,2.9,18.8,10.8,4.9,3.7,1328554.0,74.8,25.2,1.9,1.1,21.8,0.4
Idaho,48.2,8.3,1.9,2.4,17.7,11.4,5.7,4.4,1522757.0,89.7,10.3,7.8,1.1,1.0,0.5
Illinois,49.4,7.3,2.8,3.3,16.3,8.6,6.7,5.7,12091454.0,77.4,22.6,13.3,5.5,2.8,1.1
Indiana,49.1,7.1,2.3,3.5,17.4,7.0,5.4,8.2,6178831.0,92.1,7.9,4.4,1.9,1.2,0.4
Iowa,52.7,4.4,1.7,2.0,18.4,9.7,6.6,4.4,2913555.0,92.8,7.2,3.8,1.4,1.4,0.6
Kansas,51.4,6.5,2.0,2.9,17.1,8.4,5.9,5.9,2704673.0,88.7,11.3,7.5,1.3,1.9,0.6
Kentucky,45.0,6.4,3.1,2.9,19.2,7.0,5.2,11.1,4138825.0,94.8,5.2,2.5,1.4,0.8,0.6
Louisiana,46.7,5.8,4.1,3.1,17.1,8.2,5.7,9.5,4344222.0,91.6,8.4,3.7,3.2,1.2,0.4
Maine,46.8,5.2,2.3,3.2,19.6,10.6,4.2,8.2,1267172.0,93.2,6.8,0.9,4.3,0.9,0.8
Maryland,54.9,4.4,3.3,2.5,17.2,7.7,5.4,4.6,5609124.0,82.9,17.1,7.1,4.7,3.7,1.7
Massachusetts,49.7,4.2,2.8,3.2,16.9,8.1,7.8,7.4,6379441.0,77.4,22.6,8.6,8.5,4.1,1.5
Michigan,44.8,6.1,3.2,3.5,20.1,8.0,6.0,8.2,9340973.0,90.8,9.2,2.9,2.7,1.6,2.0
Minnesota,56.3,4.5,2.1,2.3,17.1,8.6,5.3,3.9,5109770.0,88.9,11.1,3.6,2.0,3.3,2.1
Mississippi,44.9,4.8,4.7,4.5,17.4,7.2,4.1,12.5,2802072.0,96.3,3.7,2.4,0.5,0.5,0.3
Missouri,49.0,5.5,2.1,2.9,18.4,8.2,5.7,8.3,5691365.0,94.4,5.6,2.3,1.7,1.1,0.5
Montana,46.5,5.6,2.2,3.1,19.9,12.8,4.3,5.7,963804.0,96.1,3.9,1.5,1.2,0.5,0.8
Nebraska,53.8,5.9,1.5,2.5,15.9,9.8,5.7,4.9,1751135.0,89.4,10.6,7.3,1.1,1.5,0.8
Nevada,48.2,7.7,4.1,4.5,17.8,8.2,4.5,5.0,2663364.0,69.3,30.7,21.4,2.4,6.0,0.8
New Hampshire,52.3,5.4,2.5,2.8,17.9,8.6,4.2,6.3,1261731.0,92.5,7.5,1.9,4.0,1.3,0.3
New Jersey,52.9,5.0,4.0,3.4,15.9,7.4,6.1,5.4,8406007.0,69.4,30.6,15.9,8.2,4.9,1.5
New Mexico,45.0,7.5,3.3,3.5,17.8,8.6,6.0,8.2,1950156.0,63.2,36.8,29.1,1.3,1.0,5.5
New York,46.3,6.0,4.0,3.9,16.5,9.4,6.9,7.1,18563935.0,69.6,30.4,15.1,8.7,5.0,1.6
North Carolina,48.1,5.9,3.3,3.2,18.8,6.7,5.3,8.8,9342422.0,88.8,11.2,7.4,1.7,1.5,0.6
North Dakota,55.0,5.8,0.9,2.2,16.0,10.7,5.5,3.9,689505.0,94.5,5.5,1.4,2.5,0.6,1.0
Ohio,49.3,5.8,2.8,3.5,18.7,7.1,5.2,7.7,10904728.0,93.4,6.6,2.1,2.5,1.1,0.8
Oklahoma,48.1,8.6,2.2,2.7,16.3,7.9,5.3,9.0,3614253.0,90.0,10.0,6.7,1.1,1.4,0.8
Oregon,44.4,6.8,3.5,2.4,20.6,8.5,7.0,6.9,3743771.0,84.5,15.5,9.3,2.5,3.1,0.7
Pennsylvania,48.4,6.3,2.5,3.0,19.3,6.9,5.7,7.9,12075749.0,89.2,10.8,4.7,3.5,2.0,0.6
Puerto Rico,29.0,17.5,7.4,3.2,18.7,10.6,6.5,7.3,3364109.0,5.5,94.5,94.4,0.1,0.0,0.0
Rhode Island,51.4,4.3,3.8,3.8,17.5,7.0,4.9,7.5,1000317.0,79.0,21.0,11.2,6.6,2.4,0.7
South Carolina,47.1,5.4,4.1,3.7,18.0,7.6,4.2,10.0,4545554.0,93.2,6.8,4.4,1.3,0.9,0.3
South Dakota,52.3,4.0,1.1,3.6,17.5,11.9,5.1,4.6,792820.0,94.3,5.7,1.7,1.5,0.8,1.7
Tennessee,45.8,5.5,3.3,3.3,19.4,7.7,4.0,11.2,6150997.0,93.0,7.0,4.0,1.3,1.1,0.7
Texas,48.9,10.0,2.3,3.2,13.9,9.5,5.8,6.4,25010570.0,64.5,35.5,29.8,2.1,2.8,0.8
Utah,55.3,10.4,1.9,2.3,12.4,8.7,5.5,3.5,2693093.0,85.3,14.7,10.0,1.8,2.1,0.8
Vermont,52.0,3.5,1.8,2.9,17.7,10.8,5.3,5.9,595681.0,95.0,5.0,1.0,3.1,0.6,0.2
Virginia,54.0,5.7,3.3,2.7,16.2,6.6,5.3,6.2,7818739.0,84.4,15.6,6.7,3.7,3.6,1.6
Washington,50.3,6.7,2.7,3.7,18.0,7.2,5.2,6.1,6617324.0,81.2,18.8,8.4,4.0,5.5,1.0
West Virginia,43.3,8.5,2.9,2.4,20.5,4.8,4.4,13.3,1747774.0,98.0,2.0,0.8,0.7,0.4,0.1
Wisconsin,53.7,5.2,2.1,3.0,18.8,6.8,4.9,5.5,5418476.0,91.3,8.7,4.5,2.0,1.8,0.3
Wyoming,51.3,7.3,2.0,1.9,18.0,11.0,3.2,5.4,546224.0,93.0,7.0,4.7,1.0,0.5,0.7
