GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Total: - 1 to 4 years
HD02_VD03,Margin of Error; Total: - 1 to 4 years
HD01_VD04,Estimate; Total: - 5 to 17 years
HD02_VD04,Margin of Error; Total: - 5 to 17 years
HD01_VD05,Estimate; Total: - 18 and 19 years
HD02_VD05,Margin of Error; Total: - 18 and 19 years
HD01_VD06,Estimate; Total: - 20 to 24 years
HD02_VD06,Margin of Error; Total: - 20 to 24 years
HD01_VD07,Estimate; Total: - 25 to 29 years
HD02_VD07,Margin of Error; Total: - 25 to 29 years
HD01_VD08,Estimate; Total: - 30 to 34 years
HD02_VD08,Margin of Error; Total: - 30 to 34 years
HD01_VD09,Estimate; Total: - 35 to 39 years
HD02_VD09,Margin of Error; Total: - 35 to 39 years
HD01_VD10,Estimate; Total: - 40 to 44 years
HD02_VD10,Margin of Error; Total: - 40 to 44 years
HD01_VD11,Estimate; Total: - 45 to 49 years
HD02_VD11,Margin of Error; Total: - 45 to 49 years
HD01_VD12,Estimate; Total: - 50 to 54 years
HD02_VD12,Margin of Error; Total: - 50 to 54 years
HD01_VD13,Estimate; Total: - 55 to 59 years
HD02_VD13,Margin of Error; Total: - 55 to 59 years
HD01_VD14,Estimate; Total: - 60 to 64 years
HD02_VD14,Margin of Error; Total: - 60 to 64 years
HD01_VD15,Estimate; Total: - 65 to 69 years
HD02_VD15,Margin of Error; Total: - 65 to 69 years
HD01_VD16,Estimate; Total: - 70 to 74 years
HD02_VD16,Margin of Error; Total: - 70 to 74 years
HD01_VD17,Estimate; Total: - 75 years and over
HD02_VD17,Margin of Error; Total: - 75 years and over
HD01_VD18,Estimate; Total: - Same house 1 year ago:
HD02_VD18,Margin of Error; Total: - Same house 1 year ago:
HD01_VD19,Estimate; Total: - Same house 1 year ago: - 1 to 4 years
HD02_VD19,Margin of Error; Total: - Same house 1 year ago: - 1 to 4 years
HD01_VD20,Estimate; Total: - Same house 1 year ago: - 5 to 17 years
HD02_VD20,Margin of Error; Total: - Same house 1 year ago: - 5 to 17 years
HD01_VD21,Estimate; Total: - Same house 1 year ago: - 18 and 19 years
HD02_VD21,Margin of Error; Total: - Same house 1 year ago: - 18 and 19 years
HD01_VD22,Estimate; Total: - Same house 1 year ago: - 20 to 24 years
HD02_VD22,Margin of Error; Total: - Same house 1 year ago: - 20 to 24 years
HD01_VD23,Estimate; Total: - Same house 1 year ago: - 25 to 29 years
HD02_VD23,Margin of Error; Total: - Same house 1 year ago: - 25 to 29 years
HD01_VD24,Estimate; Total: - Same house 1 year ago: - 30 to 34 years
HD02_VD24,Margin of Error; Total: - Same house 1 year ago: - 30 to 34 years
HD01_VD25,Estimate; Total: - Same house 1 year ago: - 35 to 39 years
HD02_VD25,Margin of Error; Total: - Same house 1 year ago: - 35 to 39 years
HD01_VD26,Estimate; Total: - Same house 1 year ago: - 40 to 44 years
HD02_VD26,Margin of Error; Total: - Same house 1 year ago: - 40 to 44 years
HD01_VD27,Estimate; Total: - Same house 1 year ago: - 45 to 49 years
HD02_VD27,Margin of Error; Total: - Same house 1 year ago: - 45 to 49 years
HD01_VD28,Estimate; Total: - Same house 1 year ago: - 50 to 54 years
HD02_VD28,Margin of Error; Total: - Same house 1 year ago: - 50 to 54 years
HD01_VD29,Estimate; Total: - Same house 1 year ago: - 55 to 59 years
HD02_VD29,Margin of Error; Total: - Same house 1 year ago: - 55 to 59 years
HD01_VD30,Estimate; Total: - Same house 1 year ago: - 60 to 64 years
