GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Occupied housing units; Estimate; Occupied housing units
HC01_MOE_VC01,Occupied housing units; Margin of Error; Occupied housing units
HC02_EST_VC01,Owner-occupied housing units; Estimate; Occupied housing units
HC02_MOE_VC01,Owner-occupied housing units; Margin of Error; Occupied housing units
HC03_EST_VC01,Renter-occupied housing units; Estimate; Occupied housing units
HC03_MOE_VC01,Renter-occupied housing units; Margin of Error; Occupied housing units
HC01_EST_VC03,"Occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC01_MOE_VC03,"Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC02_EST_VC03,"Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC02_MOE_VC03,"Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC03_EST_VC03,"Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC03_MOE_VC03,"Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC01_EST_VC04,"Occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC01_MOE_VC04,"Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC02_EST_VC04,"Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC02_MOE_VC04,"Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC03_EST_VC04,"Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC03_MOE_VC04,"Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC01_EST_VC05,Occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC01_MOE_VC05,Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC02_EST_VC05,Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC02_MOE_VC05,Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC03_EST_VC05,Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC03_MOE_VC05,Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC01_EST_VC06,Occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC01_MOE_VC06,Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC02_EST_VC06,Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC02_MOE_VC06,Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC03_EST_VC06,Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC03_MOE_VC06,Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC01_EST_VC07,Occupied housing units; Estimate; UNITS IN STRUCTURE - 5 to 9 apartments
HC01_MOE_VC07,Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 5 to 9 apartments
HC02_EST_VC07,Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 5 to 9 apartments
HC02_MOE_VC07,Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 5 to 9 apartments
HC03_EST_VC07,Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 5 to 9 apartments
HC03_MOE_VC07,Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 5 to 9 apartments
HC01_EST_VC08,Occupied housing units; Estimate; UNITS IN STRUCTURE - 10 or more apartments
HC01_MOE_VC08,Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 10 or more apartments
HC02_EST_VC08,Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 10 or more apartments
HC02_MOE_VC08,Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 10 or more apartments
HC03_EST_VC08,Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 10 or more apartments
HC03_MOE_VC08,Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 10 or more apartments
HC01_EST_VC09,Occupied housing units; Estimate; UNITS IN STRUCTURE - Mobile home or other type of housing
HC01_MOE_VC09,Occupied housing units; Margin of Error; UNITS IN STRUCTURE - Mobile home or other type of housing
HC02_EST_VC09,Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - Mobile home or other type of housing
HC02_MOE_VC09,Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - Mobile home or other type of housing
HC03_EST_VC09,Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - Mobile home or other type of housing
HC03_MOE_VC09,Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - Mobile home or other type of housing
HC01_EST_VC12,Occupied housing units; Estimate; YEAR STRUCTURE BUILT - 2010 or later
HC01_MOE_VC12,Occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 2010 or later
HC02_EST_VC12,Owner-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 2010 or later
HC02_MOE_VC12,Owner-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 2010 or later
HC03_EST_VC12,Renter-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 2010 or later
HC03_MOE_VC12,Renter-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 2010 or later
HC01_EST_VC13,Occupied housing units; Estimate; YEAR STRUCTURE BUILT - 2000 to 2009
HC01_MOE_VC13,Occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 2000 to 2009
HC02_EST_VC13,Owner-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 2000 to 2009
HC02_MOE_VC13,Owner-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 2000 to 2009
HC03_EST_VC13,Renter-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 2000 to 2009
HC03_MOE_VC13,Renter-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 2000 to 2009
